id;codigo;nombre;hora_inicio;hora_fin;descripcion;activo;fecha_alta;fecha_baja
1;past cafe;so who harvest;"18:37";"20:37";around finally oof;true;2026-04-24;2026-04-24
2;muted who mmm;boohoo pfft prance;"02:08";"09:00";heavily best-seller;true;2026-04-23;2026-04-23
3;democratize spirited;glow sadly;"02:54";"21:44";untimely;false;2026-04-24;2026-04-24
4;deduction;awkwardly;"06:01";"07:43";relative yuck transcend;true;2026-04-24;2026-04-24
5;enchanted after;loyalty before unless;"04:25";"07:56";grouper ew;false;2026-04-23;2026-04-24
6;going;babushka than;"00:00";"03:00";how drat;true;2026-04-24;2026-04-24
7;upsell though;majestically boo pacemaker;"11:55";"23:13";paintwork;true;2026-04-23;2026-04-24
8;gosh tackle rule;doubter supposing;"07:22";"14:06";teeming intensely during;true;2026-04-24;2026-04-24
9;vast on;embossing consequently;"11:23";"22:29";while;false;2026-04-23;2026-04-24
10;noisily down;absent;"22:01";"08:57";boohoo concerning reproach;false;2026-04-24;2026-04-24
11;mad;so foolishly drab;"20:17";"20:28";drag ack impact;true;2026-04-24;2026-04-23
12;upbeat hollow;endow mostly;"22:00";"23:18";thorough;true;2026-04-24;2026-04-24
13;celebrated sweet crackle;bah;"02:54";"23:41";arrogantly though questionably;true;2026-04-24;2026-04-23
14;irresponsible shiny;stir-fry;"14:07";"15:19";against aha;false;2026-04-24;2026-04-24
15;shadowbox eek;tough;"00:43";"20:45";whether;true;2026-04-24;2026-04-24
16;frizzy submitter;following sore during;"23:15";"13:07";shyly;false;2026-04-24;2026-04-24
17;while quinoa;regularly overdue woot;"21:42";"22:58";rudely;true;2026-04-24;2026-04-24
18;flat whoever;aside considering;"20:24";"23:57";upwardly grave;true;2026-04-24;2026-04-24
19;illustrious;over;"06:54";"20:34";ugh precedent executor;false;2026-04-24;2026-04-24
20;after gee unimpressively;uselessly than defenseless;"23:07";"02:59";pish wilted until;false;2026-04-23;2026-04-24
21;immediately resolve;happily aboard;"17:02";"20:49";rigid;false;2026-04-23;2026-04-24
22;whoever brr unnaturally;fairly submitter from;"07:14";"20:00";troubled barring phew;false;2026-04-23;2026-04-24
23;like miscalculate because;cinema;"16:51";"23:44";mortar festival;false;2026-04-24;2026-04-23
24;however behind stoop;boo outlying unimportant;"17:05";"05:52";next;true;2026-04-24;2026-04-24
25;yuck;yowza mmm;"22:54";"21:37";boo;true;2026-04-24;2026-04-24
26;hungrily equate;eek solidly;"08:28";"11:28";unabashedly when roger;false;2026-04-24;2026-04-24
27;unless grandpa;motor scotch up;"22:23";"04:12";pressure;false;2026-04-23;2026-04-24
28;cutlet excluding until;amazing;"19:51";"21:13";tackle once until;true;2026-04-24;2026-04-24
29;smoothly;under crushing;"10:55";"19:24";practical failing supposing;true;2026-04-24;2026-04-24
30;while after delightfully;prance;"22:37";"23:24";around bah clone;true;2026-04-24;2026-04-24
